Survey_ID,value,Data_Type,Chart_Type,Correct
9e22cd438d684a29a5e84044b83b6664a9152e35453014c4ae,sq_101,categoryvsvalue,Bar,0
9e22cd438d684a29a5e84044b83b6664a9152e35453014c4ae,sq_102,valuevslocation,Map,0
9e22cd438d684a29a5e84044b83b6664a9152e35453014c4ae,sq_103,valuevstime,Rings,0
9e22cd438d684a29a5e84044b83b6664a9152e35453014c4ae,sq_104,comparison,Bar,0
9e22cd438d684a29a5e84044b83b6664a9152e35453014c4ae,sq_105,categoryvsvalue,Bubble,0
9e22cd438d684a29a5e84044b83b6664a9152e35453014c4ae,sq_106,valuevslocation,Bar,1
9e22cd438d684a29a5e84044b83b6664a9152e35453014c4ae,sq_107,valuevsvalue,Bubble,0
9e22cd438d684a29a5e84044b83b6664a9152e35453014c4ae,sq_108,valuevstime,Table,1
9e22cd438d684a29a5e84044b83b6664a9152e35453014c4ae,sq_109,comparison,Table,0
9e22cd438d684a29a5e84044b83b6664a9152e35453014c4ae,sq_110,categoryvsvalue,Tree,1
9e22cd438d684a29a5e84044b83b6664a9152e35453014c4ae,sq_111,valuevsvalue,Scatter,0
9e22cd438d684a29a5e84044b83b6664a9152e35453014c4ae,sq_112,comparison,Pie,1
9e22cd438d684a29a5e84044b83b6664a9152e35453014c4ae,sq_113,valuevstime,Line,0
9e22cd438d684a29a5e84044b83b6664a9152e35453014c4ae,sq_114,valuevslocation,Map,1
9e22cd438d684a29a5e84044b83b6664a9152e35453014c4ae,sq_115,categoryvsvalue,Pie,0
3f116339dd19bebbfcbb1552c8f01d984966b5540ffe4b6bb7,sq_101,categoryvsvalue,Bar,0
3f116339dd19bebbfcbb1552c8f01d984966b5540ffe4b6bb7,sq_102,valuevslocation,Map,0
3f116339dd19bebbfcbb1552c8f01d984966b5540ffe4b6bb7,sq_103,valuevstime,Rings,0
3f116339dd19bebbfcbb1552c8f01d984966b5540ffe4b6bb7,sq_104,comparison,Bar,0
3f116339dd19bebbfcbb1552c8f01d984966b5540ffe4b6bb7,sq_105,categoryvsvalue,Bubble,0
3f116339dd19bebbfcbb1552c8f01d984966b5540ffe4b6bb7,sq_106,valuevslocation,Bar,0
3f116339dd19bebbfcbb1552c8f01d984966b5540ffe4b6bb7,sq_107,valuevsvalue,Bubble,1
3f116339dd19bebbfcbb1552c8f01d984966b5540ffe4b6bb7,sq_108,valuevstime,Table,0
3f116339dd19bebbfcbb1552c8f01d984966b5540ffe4b6bb7,sq_109,comparison,Table,0
3f116339dd19bebbfcbb1552c8f01d984966b5540ffe4b6bb7,sq_110,categoryvsvalue,Tree,0
3f116339dd19bebbfcbb1552c8f01d984966b5540ffe4b6bb7,sq_111,valuevsvalue,Scatter,0
3f116339dd19bebbfcbb1552c8f01d984966b5540ffe4b6bb7,sq_112,comparison,Pie,0
3f116339dd19bebbfcbb1552c8f01d984966b5540ffe4b6bb7,sq_113,valuevstime,Line,0
3f116339dd19bebbfcbb1552c8f01d984966b5540ffe4b6bb7,sq_114,valuevslocation,Map,0
3f116339dd19bebbfcbb1552c8f01d984966b5540ffe4b6bb7,sq_115,categoryvsvalue,Pie,0
8966769271da43e3de0f2d73e60becb3796efd74a0326ffa4d,sq_101,categoryvsvalue,Bar,1
8966769271da43e3de0f2d73e60becb3796efd74a0326ffa4d,sq_102,valuevslocation,Map,0
8966769271da43e3de0f2d73e60becb3796efd74a0326ffa4d,sq_103,valuevstime,Rings,0
8966769271da43e3de0f2d73e60becb3796efd74a0326ffa4d,sq_104,comparison,Bar,1
8966769271da43e3de0f2d73e60becb3796efd74a0326ffa4d,sq_105,categoryvsvalue,Bubble,0
8966769271da43e3de0f2d73e60becb3796efd74a0326ffa4d,sq_106,valuevslocation,Bar,1
8966769271da43e3de0f2d73e60becb3796efd74a0326ffa4d,sq_107,valuevsvalue,Bubble,0
8966769271da43e3de0f2d73e60becb3796efd74a0326ffa4d,sq_108,valuevstime,Table,1
8966769271da43e3de0f2d73e60becb3796efd74a0326ffa4d,sq_109,comparison,Table,1
8966769271da43e3de0f2d73e60becb3796efd74a0326ffa4d,sq_110,categoryvsvalue,Tree,0
8966769271da43e3de0f2d73e60becb3796efd74a0326ffa4d,sq_111,valuevsvalue,Scatter,0
8966769271da43e3de0f2d73e60becb3796efd74a0326ffa4d,sq_112,comparison,Pie,1
8966769271da43e3de0f2d73e60becb3796efd74a0326ffa4d,sq_113,valuevstime,Line,1
8966769271da43e3de0f2d73e60becb3796efd74a0326ffa4d,sq_114,valuevslocation,Map,0
8966769271da43e3de0f2d73e60becb3796efd74a0326ffa4d,sq_115,categoryvsvalue,Pie,0
9e93a6b1d7b5f310ddb1aa842ad95a4eec65dd1d8c7274989a,sq_101,categoryvsvalue,Bar,1
9e93a6b1d7b5f310ddb1aa842ad95a4eec65dd1d8c7274989a,sq_102,valuevslocation,Map,0
9e93a6b1d7b5f310ddb1aa842ad95a4eec65dd1d8c7274989a,sq_103,valuevstime,Rings,0
9e93a6b1d7b5f310ddb1aa842ad95a4eec65dd1d8c7274989a,sq_104,comparison,Bar,0
9e93a6b1d7b5f310ddb1aa842ad95a4eec65dd1d8c7274989a,sq_105,categoryvsvalue,Bubble,0
9e93a6b1d7b5f310ddb1aa842ad95a4eec65dd1d8c7274989a,sq_106,valuevslocation,Bar,1
9e93a6b1d7b5f310ddb1aa842ad95a4eec65dd1d8c7274989a,sq_107,valuevsvalue,Bubble,0
9e93a6b1d7b5f310ddb1aa842ad95a4eec65dd1d8c7274989a,sq_108,valuevstime,Table,1
9e93a6b1d7b5f310ddb1aa842ad95a4eec65dd1d8c7274989a,sq_109,comparison,Table,0
9e93a6b1d7b5f310ddb1aa842ad95a4eec65dd1d8c7274989a,sq_110,categoryvsvalue,Tree,1
9e93a6b1d7b5f310ddb1aa842ad95a4eec65dd1d8c7274989a,sq_111,valuevsvalue,Scatter,0
9e93a6b1d7b5f310ddb1aa842ad95a4eec65dd1d8c7274989a,sq_112,comparison,Pie,1
9e93a6b1d7b5f310ddb1aa842ad95a4eec65dd1d8c7274989a,sq_113,valuevstime,Line,0
9e93a6b1d7b5f310ddb1aa842ad95a4eec65dd1d8c7274989a,sq_114,valuevslocation,Map,0
9e93a6b1d7b5f310ddb1aa842ad95a4eec65dd1d8c7274989a,sq_115,categoryvsvalue,Pie,0
3a786a6cd2204c7fa961d07507ff9788042a15e6fcd5bd23af,sq_101,categoryvsvalue,Bar,1
